Distance(Å)	Average RDF
0.0	0.0
0.10101010101010101	0.0
0.20202020202020202	0.0
0.30303030303030304	0.0
0.40404040404040403	0.0
0.5050505050505051	0.0
0.6060606060606061	0.0
0.7070707070707071	0.0
0.8080808080808081	0.0
0.9090909090909091	0.0
1.0101010101010102	0.0
1.1111111111111112	0.0
1.2121212121212122	0.0005235602243720423
1.3131313131313131	0.03273226945479316
1.4141414141414141	0.40983273552402755
1.5151515151515151	1.666768106695487
1.6161616161616161	2.5355993225256674
1.7171717171717171	1.9944002026630498
1.8181818181818181	1.0251125616223937
1.9191919191919191	0.41201731842956124
2.0202020202020203	0.1658227326540478
2.121212121212121	0.06618057020249729
2.2222222222222223	0.036261298213293
2.323232323232323	0.023264158425333203
2.4242424242424243	0.019512633503093246
2.525252525252525	0.016807703281457455
2.6262626262626263	0.013645258753988244
2.727272727272727	0.01299900887318514
2.8282828282828283	0.015390046249668315
2.929292929292929	0.023695150022116945
3.0303030303030303	0.04097194722663943
3.131313131313131	0.06138420568522024
3.2323232323232323	0.09333113988287742
3.3333333333333335	0.1386181271308465
3.4343434343434343	0.176959798969425
3.5353535353535355	0.20284282831209974
3.6363636363636362	0.18320478841314752
3.7373737373737375	0.139759288280862
3.8383838383838382	0.09205543556912844
3.9393939393939394	0.055021215233326634
4.040404040404041	0.03472146808170361
4.141414141414141	0.02616026227820131
4.242424242424242	0.018825370952893425
4.343434343434343	0.016548839471180025
4.444444444444445	0.013344192578056415
4.545454545454545	0.013294233597867269
4.646464646464646	0.012645563004509626
4.747474747474747	0.011207202060600087
4.848484848484849	0.011539796581176362
4.94949494949495	0.01216351659946799
5.05050505050505	0.012419850454473491
5.151515151515151	0.014859336793544205
5.252525252525253	0.016276084288214702
5.353535353535354	0.01455797227255489
5.454545454545454	0.00994635035652109
5.555555555555555	0.004506358809790173
5.656565656565657	0.0017490721113270096
5.757575757575758	0.0004336988949734077
5.858585858585858	8.74187913403598e-05
5.959595959595959	0.0
6.0606060606060606	0.0
6.161616161616162	0.0
6.262626262626262	0.0
6.363636363636363	0.0
6.4646464646464645	0.0
6.565656565656566	0.0
6.666666666666667	0.0
6.767676767676767	0.0
6.8686868686868685	0.0
6.96969696969697	0.0
7.070707070707071	0.0
7.171717171717171	0.0
7.2727272727272725	0.0
7.373737373737374	0.0
7.474747474747475	0.0
7.575757575757575	0.0
7.6767676767676765	0.0
7.777777777777778	0.0
7.878787878787879	0.0
7.979797979797979	0.0
8.080808080808081	0.0
8.181818181818182	0.0
8.282828282828282	0.0
8.383838383838384	0.0
8.484848484848484	0.0
8.585858585858587	0.0
8.686868686868687	0.0
8.787878787878787	0.0
8.88888888888889	0.0
8.98989898989899	0.0
9.09090909090909	0.0
9.191919191919192	0.0
9.292929292929292	0.0
9.393939393939394	0.0
9.494949494949495	0.0
9.595959595959595	0.0
9.696969696969697	0.0
9.797979797979798	0.0
9.8989898989899	0.0
